Title,Published_date,Views,Likes,Comments,Channel_name
So You Think You Can ANALYZE? (Data Content Creator Hackathon),2024-09-21,42349,1503,96,Ken Jee
Moving On,2024-04-22,12216,498,91,Ken Jee
How Does ChatGPT Image Analysis Do on an IQ Test?,2023-11-30,4530,93,25,Ken Jee
A Data Dream Come True,2023-11-17,2609,97,23,Ken Jee
The Death of the Full-Time Job,2023-09-22,6718,426,78,Ken Jee
How to Survive a Down Data Job Market,2023-09-05,18083,608,64,Ken Jee
The Harsh Reality of the Data Job Market,2023-08-24,109631,2621,287,Ken Jee
7 Industries AI will Aggressively Disrupt,2023-08-14,6956,262,42,Ken Jee
What's in My Data Science Travel Bag? (50+ Flights Last Year),2023-08-07,4722,137,48,Ken Jee
7 Enticing Jobs AI Will Create,2023-07-24,4984,203,37,Ken Jee
The ChatGPT Code Interpreter is OVERRATED,2023-07-22,4330,147,31,Ken Jee
Exciting Announcement!,2023-06-23,6760,294,50,Ken Jee
AI: A Customer Service Revolution?,2023-05-26,4185,126,35,Ken Jee
Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,76932,2313,52,Ken Jee
How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,37238,1510,78,Ken Jee
This AI question will determine our future,2023-04-06,4397,258,38,Ken Jee
I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,71728,829,78,Ken Jee
Your current portfolio is actually hurting you #shorts,2023-03-30,9713,546,5,Ken Jee
"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,8295,441,3,Ken Jee
you're job searching wrong. #shorts,2023-03-23,4701,270,3,Ken Jee
The Economics of Data Roles #shorts,2023-03-21,11183,653,13,Ken Jee
Why your phone knows everything you say #shorts,2023-03-18,4071,185,8,Ken Jee
Read these for a successful career. #shorts,2023-03-16,3361,253,2,Ken Jee
Is Your Phone Actually Listening to You? #shorts,2023-03-09,3334,57,5,Ken Jee
How I Realized I Was a Bad Manager #shorts,2023-03-07,3340,144,1,Ken Jee
How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,21262,776,50,Ken Jee
Why I Quit Data Science... and then crawled back #shorts,2023-03-01,9268,290,12,Ken Jee
The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2958,178,2,Ken Jee
Learning On the companies dime #shorts,2023-02-24,3372,179,1,Ken Jee
The Best Way to Transition to Data Science? #shorts,2023-02-21,5017,300,6,Ken Jee
Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,7508,411,6,Ken Jee
Don't Go into Data for the Money #shorts,2023-02-15,3909,219,12,Ken Jee
First Data Science Project? Watch This.,2023-02-13,8752,396,24,Ken Jee
How to Approach Applying for a Data Role #shorts,2023-02-08,3766,245,7,Ken Jee
The Hard Reality of Data Science Work #shorts,2023-02-06,18242,934,16,Ken Jee
How Much Money Does a Data Scientist Make? #shorts,2023-02-03,5374,203,6,Ken Jee
These 3 Things Make Data Science Special #shorts,2023-02-01,4565,355,7,Ken Jee
Will Data Science Be Automated? #shorts,2023-01-27,10737,439,10,Ken Jee
Is Data Science A Good Fit For You? #shorts,2023-01-25,5508,302,10,Ken Jee
5 Books I Wish I Read Earlier In My Career,2023-01-23,9957,528,49,Ken Jee
How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,13425,984,18,Ken Jee
What Data Science Tool Would I Learn First? #shorts,2023-01-17,6593,480,10,Ken Jee
